date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:03:13	4254/4254	---MCZ	200	added ('OK')	text/html	date:Tue,%2016%20May%202017%2016:41:13%20GMT	https://alvarotrigo.com/fullPage/extensions/responsive-slides.html	C:/My%20Web%20Sites/responsiveslide/alvarotrigo.com/fullPage/extensions/responsive-slides.html	(from )
15:03:14	176/176	---M-Z	200	added ('OK')	text/plain	etag:%224c4daa-1a1-53ea921dbc780-gzip%22	https://alvarotrigo.com/robots.txt		(from )
15:03:14	4990/4990	---M-Z	200	added ('OK')	text/css	etag:%224c551b-137e-549ae2d145e40-gzip%22	https://alvarotrigo.com/fullPage/jquery.fullPage.css	C:/My%20Web%20Sites/responsiveslide/alvarotrigo.com/fullPage/jquery.fullPage.css	(from https://alvarotrigo.com/fullPage/extensions/responsive-slides.html)
15:03:14	4260/4260	---M-Z	200	added ('OK')	text/css	etag:%22582554-10a4-550c58130e484-gzip%22	https://alvarotrigo.com/fullPage/examples/examples.css	C:/My%20Web%20Sites/responsiveslide/alvarotrigo.com/fullPage/examples/examples.css	(from https://alvarotrigo.com/fullPage/extensions/responsive-slides.html)
15:03:16	12926/12926	---M-Z	200	added ('OK')	application/javascript	etag:%22746644-327e-4f56bda24e740-gzip%22	https://alvarotrigo.com/fullPage/vendors/jquery.easings.min.js	C:/My%20Web%20Sites/responsiveslide/alvarotrigo.com/fullPage/vendors/jquery.easings.min.js	(from https://alvarotrigo.com/fullPage/extensions/responsive-slides.html)
15:03:16	7316/7316	---M-Z	200	added ('OK')	application/javascript	etag:%224c5513-1c94-53eaca27dbe40-gzip%22	https://alvarotrigo.com/fullPage/fullpage.responsiveSlides.limited.min.js	C:/My%20Web%20Sites/responsiveslide/alvarotrigo.com/fullPage/fullpage.responsiveSlides.limited.min.js	(from https://alvarotrigo.com/fullPage/extensions/responsive-slides.html)
15:03:17	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Thu,%2014%20Sep%202017%2009:33:13%20GMT	http://alvarotrigo.com/fullPage/extensions/	C:/My%20Web%20Sites/responsiveslide/alvarotrigo.com/fullPage/extensions/index.html	(from https://alvarotrigo.com/fullPage/extensions/responsive-slides.html)
15:03:17	35224/35224	---M-Z	200	added ('OK')	application/javascript	etag:%224c5521-8998-549ae27d59840-gzip%22	https://alvarotrigo.com/fullPage/jquery.fullpage.extensions.min.js	C:/My%20Web%20Sites/responsiveslide/alvarotrigo.com/fullPage/jquery.fullpage.extensions.min.js	(from https://alvarotrigo.com/fullPage/extensions/responsive-slides.html)
15:03:17	95786/95786	---MC-	200	added ('OK')	text/javascript	date:Tue,%2020%20Dec%202016%2018:17:03%20GMT	https://ajax.googleapis.com/ajax/libs/jquery/1.11.1/jquery.min.js	C:/My%20Web%20Sites/responsiveslide/ajax.googleapis.com/ajax/libs/jquery/1.11.1/jquery.min.js	(from https://alvarotrigo.com/fullPage/extensions/responsive-slides.html)
15:03:18	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Thu,%2014%20Sep%202017%2009:33:14%20GMT	http://alvarotrigo.com/robots.txt		(from https://alvarotrigo.com/fullPage/extensions/responsive-slides.html)
